SIGLA;DIA;HORA;LOCAL
AO0205;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0206;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0207;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0208;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0209;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0210;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0211;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0212;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0213;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0214;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0215;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
COL001;2015-09-15;8:00 - 11:30 h;Sala Manacá
COL002;2015-09-15;8:00 - 11:30 h;Sala Manacá
COL003;2015-09-15;8:00 - 11:30 h;Sala Manacá
COL004;2015-09-15;8:00 - 11:30 h;Sala Manacá
COL005;2015-09-15;8:00 - 11:30 h;Sala Manacá
COL006;2015-09-15;13:00 - 16:30 h;Sala Manacá
COL007;2015-09-15;13:00 - 16:30 h;Sala Manacá
COL008;2015-09-15;13:00 - 16:30 h;Sala Manacá
COL009;2015-09-15;13:00 - 16:30 h;Sala Manacá
COL010;2015-09-15;13:00 - 16:30 h;Sala Manacá
COL011;2015-09-15;8:00 - 11:30 h;Sala Manacá
COL012;2015-09-15;8:00 - 11:30 h;Sala Manacá
COL013;2015-09-15;8:00 - 11:30 h;Sala Manacá
COL014;2015-09-15;8:00 - 11:30 h;Sala Manacá
COL015;2015-09-15;8:00 - 11:30 h;Sala Manacá
FC001;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC002;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC003;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC004;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC005;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC006;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC007;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
