SIGLA,DIA,HORA,LOCAL
PI0048,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0049,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0050,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0051,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0052,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0053,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0054,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0055,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0056,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0057,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0058,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0059,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0060,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0061,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0062,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0063,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0064,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0065,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0066,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0067,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0068,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0069,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0070,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0071,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0072,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0073,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0074,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0075,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0076,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0077,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0078,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0079,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0080,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0081,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0082,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0083,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0084,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0085,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0086,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0087,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0088,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0089,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0090,9/4/2015,8:00 - 11:30 h,Foyer 2
